doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
name,became_rfc,expired,replaced,revisions
draft-ietf-ipfc-fabric-element-mib,True,False,False,6
draft-ietf-oncrpc-rpcv2,True,False,False,1
draft-ietf-oncrpc-xdr,True,False,False,1
draft-ietf-cat-kerb5gss,True,False,False,7
draft-ietf-sipp-discovery-formats,False,True,False,0
draft-ietf-tuba-host-clnp-multicas,True,False,False,1
draft-ietf-tuba-transition,False,True,False,1
draft-ietf-pppext-hdlc-fs,True,False,False,2
draft-ietf-pppext-lcp-fs,True,False,False,2
draft-ietf-sipp-dns-ext,False,True,False,0
draft-ietf-sipp-icmp-igmp,False,True,False,0
draft-ietf-ospf-pmp-if,False,True,False,0
draft-ietf-tuba-eon,False,True,False,0
draft-ietf-tuba-sysid,False,True,False,0
draft-ietf-tuba-addr-assign,False,True,False,0
draft-ietf-isis-prot-anal,False,True,False,1
draft-ietf-isis-opexp,False,True,False,1
draft-ietf-sipp-auto-addr,False,True,False,0
draft-ietf-pppext-gap-auth,False,True,False,0
draft-ietf-avt-cellb,True,False,False,8
draft-ietf-uri-urn-req,True,False,False,0
draft-ietf-sipp-whitepaper,True,False,False,0
draft-ietf-idmr-pim-arch,False,True,False,5
draft-ietf-idmr-pim-spec,False,True,False,2
draft-ietf-idmr-pim-dense-spec,False,True,False,0
draft-ietf-mobileip-protocol,True,False,False,17
draft-ietf-pppext-aha-auth,False,True,False,0
draft-ietf-pppext-magnalink,True,False,False,1
draft-ietf-userdoc2-fyi-biblio,False,True,False,0
draft-ietf-mobileip-integrated,False,True,False,0
draft-ietf-mobileip-addr-ext,False,True,False,0
draft-ietf-pppext-kap-auth,False,True,False,0
draft-ietf-isn-aup,False,True,False,1
draft-ietf-nasreq-radius,True,False,False,1
draft-ietf-dns-lb,True,False,False,0
draft-ietf-smtpext-extensions,True,False,False,4
draft-ietf-smtpext-8bitmime,False,True,False,3
draft-ietf-smtpext-size-old,True,False,False,1
draft-ietf-ifmib-ethmib-smiv1,True,False,False,0
draft-ietf-ifmib-ethmib-smiv2,True,False,False,0
draft-ietf-wnils-whois-arch,True,False,False,2
draft-ietf-ipatm-sig,True,False,False,1
draft-ietf-pppext-callback-cp,False,True,False,2
draft-ietf-uri-urc,False,True,False,0
draft-ietf-uri-urn2urc,False,True,False,0
draft-ietf-poised-nomcomm,False,True,False,0
draft-ietf-ospf-demand,True,False,False,1
draft-ietf-tuba-mtu,False,True,False,1
draft-ietf-tuba-inlsp,False,True,False,0
draft-ietf-tuba-mobility,False,True,False,0
draft-ietf-822ext-mime-imb,True,False,False,6
draft-ietf-rolc-nbma-arp,True,False,False,0
draft-ietf-oncrpc-auth,True,False,False,6
draft-ietf-oncrpc-bind,True,False,False,0
draft-ietf-pem-sigenc,True,False,False,2
draft-ietf-imap-auth,True,False,False,1
draft-ietf-printmib-printer-mib,True,False,False,3
draft-ietf-uri-irl-fun-req,True,False,False,2
draft-ietf-imap-compat,True,False,False,0
draft-ietf-imap-disc,False,True,False,0
draft-ietf-rtfm-acct-meter-mib,True,False,False,0
draft-ietf-sdr-route-construction,False,True,False,1
draft-ietf-cat-spkmgss,True,False,False,6
draft-ietf-uri-urc-spec,False,True,False,0
draft-ietf-ifmib-tokenringmib,True,False,False,0
draft-ietf-ripv2-protocol-applic,True,False,False,1
draft-ietf-pppext-sdtp,True,False,False,0
draft-ietf-dnsind-dynDNS-arch,False,True,False,0
draft-ietf-dnsind-dynDNS-impl,False,True,False,0
draft-ietf-nimrod-routing-arch,True,False,False,1
draft-ietf-mailext-smtp-521,True,False,False,3
draft-ietf-ids-iwps-design-spec,False,True,False,1
draft-ietf-sipp-sst-overview,False,True,False,0
draft-ietf-idmr-igmp-mib,True,False,False,14
draft-ietf-idmr-multicast-routmib,True,False,False,14
draft-ietf-idmr-pim-mib,True,False,False,11
draft-ietf-snanau-appcmib,True,False,False,6
draft-ietf-pppext-atcp2,False,True,False,0
draft-ietf-pppext-vines,True,False,False,1
draft-ietf-snadlc-llc-mib,False,True,False,1
draft-ietf-pppext-kapv4-auth,False,True,False,0
